priority,id,title,category,words,review_reasons,review_status
1,communication:check-back,Check-back — closed-loop communication,communication,168,Clinical reviewer triage: Numerical treatment wording: Example | 3 blocks without attached citation IDs,Not adjudicated
1,diagnosis:trigeminal-neuralgia,Trigeminal neuralgia,diagnosis,273,Clinical reviewer triage: Numerical treatment wording: Common interventions | Source locator review: openrn_dx_round11: search URL (needs a specific supporting source) | Not assigned to a selected topic collection,Not adjudicated
1,diagnosis:rhabdomyolysis,Rhabdomyolysis,diagnosis,395,Clinical reviewer triage: Numerical treatment wording: Common interventions | Source locator review: openrn_dx_round17: search URL (needs a specific supporting source) | Not assigned to a selected topic collection,Not adjudicated
1,diagnosis:hemicrania-continua,Hemicrania continua,diagnosis,409,Clinical reviewer triage: Numerical treatment wording: Common interventions | Source locator review: cdc_dx_round31: site root (needs claim-level source review) | Not assigned to a selected topic collection,Not adjudicated
1,diagnosis:tension-type-headache,Tension-type headache (TTH),diagnosis,412,Clinical reviewer triage: Numerical treatment wording: Common interventions | Source locator review: cdc_dx_round31: site root (needs claim-level source review) | Not assigned to a selected topic collection,Not adjudicated
1,diagnosis:gout,Gout,diagnosis,449,Clinical reviewer triage: Numerical treatment wording: Common interventions | Source locator review: openrn_ms_round3: search URL (needs a specific supporting source) | Not assigned to a selected topic collection,Not adjudicated
1,diagnosis:primary-biliary-cholangitis,Primary biliary cholangitis (PBC),diagnosis,501,Clinical reviewer triage: Numerical treatment wording: Common interventions | Not assigned to a selected topic collection,Not adjudicated
1,diagnosis:primary-aldosteronism,Primary aldosteronism (Conn syndrome),diagnosis,620,Clinical reviewer triage: Numerical treatment wording: Common interventions | Not assigned to a selected topic collection,Not adjudicated
1,diagnosis:prolactinoma,Prolactinoma,diagnosis,646,Clinical reviewer triage: Numerical treatment wording: Common interventions | Not assigned to a selected topic collection,Not adjudicated
1,diagnosis:painful-diabetic-neuropathy,Painful diabetic peripheral neuropathy (DPN),diagnosis,661,Clinical reviewer triage: Numerical treatment wording: Common interventions | Source locator review: cdc_dx_round31: site root (needs claim-level source review) | Not assigned to a selected topic collection,Not adjudicated
1,diagnosis:pediatric-gastroenteritis,Pediatric viral gastroenteritis,diagnosis,862,Clinical reviewer triage: Numerical treatment wording: Common interventions | Source locator review: cdc_peds_r38b: site root (needs claim-level source review); specialty_peds_r38b: site root (needs claim-level source review) | Not assigned to a selected topic collection,Not adjudicated
1,drip:phenylephrine-drip,Phenylephrine drip,drip,159,"Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Check absent sections: Contraindications, Patient teaching | Not assigned to a selected topic collection",Not adjudicated
1,drip:vasopressin-drip,Vasopressin drip,drip,173,"Clinical reviewer triage: High-alert medication | 4 blocks without attached citation IDs | Check absent sections: Contraindications, Patient teaching",Not adjudicated
1,drip:epinephrine-drip,Epinephrine drip,drip,196,"Clinical reviewer triage: High-alert medication | 5 blocks without attached citation IDs | Check absent sections: Contraindications, Patient teaching | Not assigned to a selected topic collection",Not adjudicated
