entry_id,title,tier,status,reviewer,reviewed_on,source_fidelity_checked_on,review_focus
diagnosis:type-2-diabetes,Type 2 diabetes mellitus,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
diagnosis:hypertension,Hypertension in adults,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
diagnosis:obesity,Obesity in adults,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
reference:diabetes-sick-day-safety,Diabetes sick-day safety,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
reference:hypertension-medication-follow-up,Hypertension medication follow-up,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
reference:obesity-long-term-care,Obesity: long-term treatment support,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
diagnosis:dyslipidemia,Dyslipidemia in adults,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
diagnosis:chronic-constipation,Chronic constipation in adults,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
reference:ibs-symptom-follow-up,IBS: treatment response and follow-up,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
reference:insomnia-cbt-i-follow-up,Insomnia: CBT-I and treatment follow-up,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
reference:smoking-cessation-treatment-support,Smoking cessation: treatment and follow-up,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
reference:masld-fibrosis-follow-up,MASLD: fibrosis assessment and follow-up,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
reference:migraine-prevention-follow-up,Migraine: prevention and follow-up,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
reference:gerd-treatment-reassessment,GERD: treatment response and reassessment,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
reference:iron-deficiency-treatment-follow-up,Iron deficiency: treatment and follow-up,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
reference:osteoarthritis-treatment-follow-up,Osteoarthritis: pain and treatment follow-up,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
reference:osteoporosis-treatment-continuity,Osteoporosis: treatment continuity,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
reference:recurrent-uti-prevention-follow-up,Recurrent UTI: prevention and follow-up,A,pending-independent-clinical-review,,,2026-09-19,"Source fidelity, adult scope, clinical thresholds, recognition and escalation, medication boundaries, current guideline and trial context; clinician review required"
